DATETIMESTEP,day,K001.D1.1,K001.D1.2,K001.D19.1,K001.D2.1,K001.D2.2,K001.D4.1,K001.D4.2,K001.D4.3,K001.D6.1,K001.D6.2,K001.D6.3,K001.D6.4,K001.D6.5,K001.D6.6,K001.D7.2,K001.D7.3,K001.D7.4,K002.D5.3,K002.D6.1,K002.D6.2,K002.D7.3,K002.SD7,K003.D10.1,K003.D12.1,K003.D13.1,K003.D14.1,K003.D2.2,K003.D3.1,K003.D4.1,K003.SD1.1,K005.D1.2,K005.D1.3,K005.D1.5,K005.D1.6,K005.D2.2,K005.D2.3,K005.D3.1,K005.D38.3,K005.D4.1,K005.D4.4,K005.D5.1,K005.D6.1,K006.D2.1,K006.D2.2,K006.D23.2,K006.D3.1,K006.D3.2,K006.D4.1,K006.D7.1,K006.D7.2,K006.D7.3,K006.D7.4,K006.D8.1,K006.D8.2,K006.SD7.3,K006.SD7.4,K007.D2.1,K007.D2.2,K007.D3.1,K007.D3.2,K007.D6.1,K007.D6.2,K008.D1.1,K008.D2.1,K008.D4.2,K008.D4.3,K009.D15.1,K009.D16.1,K009.D18.1,K009.D19.2,K009.D2.1,K009.D3.1,K012.D2.1,K012.D2.2,K012.D3.1,K012.D3.2,K012.D5.4,K012.D6.1,K012.D6.2,K013.D2.1,K013.D2.2,K013.D2.3,K013.D3.1,K013.D3.2,K013.D4.1,K013.D4.2,K013.D4.4,K013.D4.5,K013.D5.1,K013.D5.2,K013.D5.3,K013.D5.4,K013.D5.5,K013.D5.6,K013.D6.1,K013.D6.2,K013.D6.3,K014.D1.1,K014.D1.2,K014.D1.3,K014.D1.4,K014.D2.1,K014.D2.2,K014.D2.3,K014.D2.4,K014.D2.5,K014.D2.6,K014.D3.1,K014.D3.2,K014.D4.1,K014.D4.2,K014.D5.1,K014.D5.4,K015.D1.1,K015.D1.2,K015.D2.1,K015.D2.2,K015.D2.3,K015.D2.4,K016.D1.1,K016.D3.1,K016.D5.1,K016.D7.1,K017.D1.1,K017.D1.2,K017.D25.1,K017.D25.2,K017.D27.1,K017.D3.1,K017.D33.1,K017.D33.2,K017.D4.1,K017.D5.1,K017.D6.1,K017.D6.2,K018.D1.1,K018.D1.2,K018.D10.1,K018.D10.2,K018.D11.1,K018.D11.2,K018.D20.1,K018.D21.1,K018.D21.2,K018.D23.1,K018.D3.1,K018.D3.2,K018.D4.1,K021.D6.1,K021.D6.2,K023.D1.2,K023.D1.3,K023.D16.1,K023.D16.2,K023.D16.3,K023.D16.4,K023.D18.1,K023.D18.2,K023.D19.3,K023.D19.5,K023.D3.1,K023.D3.2,K023.D3.3,K023.D3.4,K023.D4.2,K023.D5.2,K023.D5.3,K023.D6.1,K023.D6.2,K023.D6.3,K024.D1.2,K024.D4.3,K024.D6.1,K024.D6.2,K024.D6.3,K024.D7.2,K024.D7.3,K024.D7.4,K025.D1.1,K025.D1.2,K025.D10.1,K025.D11.1,K025.D12.1,K025.D12.2,K025.D14.1,K025.D14.2,K025.D15.1,K025.D15.2,K025.D16.1,K025.D16.2,K025.D18.1,K025.D18.2,K025.D2.1,K025.D20.1,K025.D20.2,K025.D21.1,K025.D21.2,K025.D22.1,K025.D22.2,K025.D3.1,K025.D3.2,K025.D6.1,K025.D7.1,K025.D8.1,K029.D2.1,K029.D2.2,K029.D23.1,K029.D3.1,K029.D7.1,K030.D1.1,K030.D4.1,K030.D5.1,K031.D1.2,K031.D2.1,K031.D4.1,K031.D4.2,K031.D7.1,K031.D7.2,K032.D1.1,K032.D2.1,K032.D3.1,K032.D4.1,K032.D5.1,K032.D7.1,K032.D8.1,K032.D9.1,K034.D1.1,K034.D1.2,K034.D1.3,K034.D2.1,K034.D2.2,K034.D2.3,K034.D4.1,K034.D4.2,K034.D4.3,K034.D5.1,K034.D5.2,K034.D5.3,K037.D1.2,K037.D1.3,K037.D2.1,K037.D2.2,K037.D3.1,K037.D3.2,K037.D5.2,K037.D5.3,K037.D6.2,K037.D6.3,K037.D7.2,K037.D7.3,K037.D8.2,K037.D8.4,K039.D1.1,K039.D1.2,K039.D2.1,K039.D2.3,K039.D3.1,K039.D3.2,K039.D4.1,K039.D4.2,K039.D4.3,K039.D4.4,K039.D5.1,K039.D5.2,K040.D1.1,K040.D1.2,K040.D1.3,K040.D10.1,K040.D10.2,K040.D10.3,K040.D11.1,K040.D11.2,K040.D12.2,K040.D2.1,K040.D2.2,K040.D3.1,K040.D3.2,K040.D3.3,K040.D3.4,K040.D4.1,K040.D4.2,K040.D4.3,K040.D5.1,K040.D5.2,K040.D5.3,K040.D6.1,K040.D6.2,K040.D6.3,K040.D7.1,K040.D7.2,K040.D7.3,K040.D8.1,K040.D8.2,K040.D8.3,K040.D8.4,K040.D8.5,K040.D8.6,K040.D9.1,K040.D9.2,K040.D9.3,K041.D1.1,K041.D1.2,K041.D1.3,K041.D3.1,K041.D3.2,K041.D4.1,K044.D1.1,K044.D2.1,K044.D2.2,K044.D3.1,K044.D3.2,K044.D4.1,K044.D5.1,K044.D5.2,K044.D5.3,K045.D1.1,K045.D1.2,K045.D1.3,K045.D2.2,K045.D2.4,K050.D1.1,K050.D2.1,K050.D3.1,K050.D5.1,K050.D5.2,K050.D6.1,K050.D7.1,K051.D1.1,K051.D2.1,K051.D3.1,K051.D3.3,K051.D4.1,K051.D5.1,K051.D6.1,K051.D6.2,K053.D1.1,K053.D2.1,K053.D3.1,K053.D4.1,K053.D7.1,K054.D2.1,K054.D5.1,K054.D6.1,K054.D6.2,K054.D7.1,K054.D7.2,K056.D1.1,K056.D1.2,K056.D1.3,K056.D1.4,K056.D2.1,K059.D1.1,K059.D1.2,K059.D1.3,K059.D1.4,K059.D1.5,K059.D2.1,K059.D3.1,K059.D3.2,K059.D3.3,K059.D4.1,K059.D4.2,K059.D4.3,K059.D4.4,K059.D4.5,K059.D5.1,K059.D5.2,K059.D5.3,K059.D5.4,K062.D1.1,K062.D1.2,K062.D1.3,K062.D2.1,K062.D2.2,K062.D2.3,K063.D1.1,K063.D1.2,K063.D2.1,K063.D2.2,K063.D2.3,K063.D2.4,K063.D3.1,K063.D4.2,K063.D4.3,K063.D5.1,K063.D5.2,K063.D5.3,K063.D5.4,K070.D13.1,K070.D13.2,K070.D2.1,K070.D2.2,K070.D2.3,K070.D3.1,K070.D3.2,K070.D4.1,K070.D4.2,K070.D4.3,K070.D5.1,K070.D5.3,K071.D1.1,K071.D1.2,K071.D1.3,K071.D2.1,K071.D2.2,K071.D3.2,K071.D3.3,K071.D3.4,K071.D4.1,K071.D4.2,K072.D1.1,K072.D1.2,K072.D2.1,K072.D2.2,K072.D2.3,K072.D2.4,K072.D4.3,K072.D4.4,K072.D4.5,K072.D4.6,K072.D6.1,K072.D6.2,K072.D6.3,K072.D6.4,K072.D6.5,K072.D8.2,K072.D8.3,K072.D8.5,K072.D8.6,K073.D1.1,K073.D1.2,K073.D1.3,K073.D2.1,K073.D2.2,K073.D3.1,K073.D3.2,K073.D3.3,K073.D4.1,K073.D4.2,K073.D4.3,K074.D1.1,K074.D1.2,K074.D1.3,K074.D1.4,K074.D2.1,K074.D2.2,K074.D2.3,K077.D1.1,K077.D1.3,K077.D1.4,K077.D2.1,K077.D2.2,K077.D2.3,K077.D2.4,K077.D3.2,K077.D3.3,K077.D3.4,K077.D4.1,K077.D4.4,K077.D5.2,K077.D5.4,K077.D6.1,K077.D6.2,K077.D6.3,K077.D7.1,K077.D7.3,K077.D8.1,K077.D8.2,K077.D8.3,K077.D8.4,K077.D9.1,K077.D9.2,K077.D9.3,K078.D1.1,K078.D1.2,K078.D1.3,K078.D2.1,K078.D2.2,K078.D2.3,K078.D2.4,K078.D3.1,K078.D3.2,K078.D4.1,K078.D4.2,K078.D4.3,K078.D6.1,K078.D6.2,K078.D6.3,K078.D6.4,K078.D6.6,K078.D7.1,K078.D7.2,K078.D7.3,K078.D7.4,K080.D1.1,K080.D1.2,K080.D1.3,K080.D2.1,K080.D2.2,K080.D2.3,K081.D1.1,K081.D1.2,K081.D1.3,K081.D2.4,K081.D3.1,K081.D3.2,K081.D6.1,K081.D6.2,K081.D7.2,K081.D7.3,K081.D7.4,K088.D2.1,K088.D2.2,K088.D5.2,K088.D5.3,K101.D1.1,K101.D1.2,K101.D1.3,K101.D2.2,K101.D2.4,K101.D2.6,K101.D2.7,K101.D3.1b,K101.D3.2,K101.D4.1,K101.D4.2,K101.D4.3,K101.D4.4,K104.D1.1,K104.D1.2,K104.D2.1,K104.D2.2,K112.D1.1,K112.D1.2,K112.D2.1,K112.D4.2,K114.D2.1,K114.D3.1,K114.D3.2,K114.D4.1,K114.D4.2,K114.D5.1,K114.D5.2,K114.D5.3,K120.D1.1,K120.D1.2,K120.D1.3,K120.D1.4,K120.D2.1,K120.D2.2,K120.D3.1,K120.D3.2,K120.D3.3,K120.D4.1,K120.D4.2,K120.D4.3,K120.D4.4,K120.D4.5,K122.D1.1,K122.D1.2,K122.D1.3,K122.D2.1,K122.D2.2,K122.D2.3,K122.D26.1,K122.D26.2,K122.D3.1,K122.D3.2,K122.D3.3,K122.D4.1,K122.D4.2,K122.D5.1,K122.D5.2,K122.D5.3,K122.D7.1,K122.D7.2,K122.D8.1,K122.D8.2,K123.D1.1,K123.D1.2,K123.D2.0,K123.D2.1,K123.D37.0,K123.D38.0,K123.D4.2,K123.D4.3,K123.D5.0,K123.D5.3,K126.D2.1,K126.D2.2,K126.D2.3,K126.D3.1,K126.D3.2,K126.D5.1,K126.D6.1,K126.D6.2,K127.D1.1,K127.D1.2,K127.D1.3,K127.D2.1,K127.D2.2,K127.D2.3,K127.D5.2,K127.D5.3,K127.D6.1,K127.D6.2,K127.D6.3,K127.SD17,K129.D12.1,K129.D12.2,K129.D12.3,K129.D12.4,K129.D14.1,K129.D14.2,K129.D3.1,K129.D3.2,K140.D11.1,K140.D11.2,K140.D9.1,K140.D9.2,K140.D9.3,K142.D1.1,K142.D1.2,K142.D3.1,K142.D3.2,K142.D3.3,K142.D4.1,K142.D4.2a,K142.D4.2b,K142.D5.1,K142.D5.2,K142.D5.3,K142.D6.1,K142.D6.2,K142.D6.3,K142.D6.4,K145.D1.1,K145.D15.1,K145.SD6,K146.D1.1,K146.D2.1,K146.D2.2,K146.D2.3,K146.D25.1,K146.D25.2,K146.D26.1,K146.D26.2,K146.D27.1,K146.D27.2,K146.D3.1,K146.D3.2,K146.D3.3,K146.D5.1,K146.D5.2,K146.D5.3,K146.D7.1,K146.D7.2,K146.D7.3,K146.D8.1,K146.D8.2,K146.D8.3,K147.D25.1,K147.D26.1,K147.D26.2,K147.D27.1,K147.D27.2,K147.D28.1,K147.D28.2,K147.D29.3,K147.SD29,K153.D1.1,K153.D1.2,K153.D3.1,K153.D3.2,K153.D4.1,K153.D4.2,K153.D6.1,K153.D6.2,K153.D7.1,K153.D7.2,K153.D7.4,K153.D7.5,K153.D8.1,K153.D8.2,K155.D1.2,K155.D2.2,K155.D6.2,K155.D6.4,K155.D7.1,K155.D7.2,K159.D1.1,K159.D1.2,K159.D1.3,K159.D2.1,K159.D3.1,K159.D3.2,K159.D4.1,K159.D4.3,K161.D1.1,K161.D1.2,K161.D2.1,K161.D2.2,K161.D3.1,K161.D3.2,K161.D4.1,K161.D4.2,K163.D1.20,K163.D1.21,K163.D1.22,K163.D1.23,K163.D1.24,K163.D2.20,K163.D2.21,K163.D2.22,K163.D2.23,K163.D20.20,K163.D20.21,K163.D20.22,K163.D20.23,K163.D22.20,K163.D22.21,K163.D22.22,K163.D22.23,K163.D3.20,K163.D3.21,K163.D3.22,K163.D4.20,K163.D4.21,K163.D4.22,K163.D5.20,K163.D5.21,K163.D5.22,K163.D6.20,K163.D6.21,K163.D6.22,K163.D7.20,K163.D7.21,K163.D7.22,K163.D8.21,K163.D8.22,K163.D9.20,K163.D9.21,K163.D9.22,K165.D1.1,K165.D1.2,K165.D2.1,K165.D2.2,K165.D2.3,K165.D4.1,K165.D4.2,K165.D5.1,K165.D5.2,K169.D4.1,K169.D4.2,K171.SD5
2016-10-24 06:40:00,2016-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-24 06:45:00,2016-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-24 06:50:00,2016-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-24 06:55:00,2016-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-24 07:00:00,2016-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-24 07:05:00,2016-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-24 07:10:00,2016-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-24 07:15:00,2016-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-24 07:20:00,2016-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-24 07:25:00,2016-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
